flashcard_id,student_id,subject,topic,question,answer,is_known
f69a48fd-8e79-4fc4-8219-bd252c7d54e7,S0682,Math,Algebra,Why is Algebra important?,Algebra is important because ...,True
1029fcbc-920d-4bba-b781-2ab8a5e422e5,S0682,English,Grammar,Explain Grammar in brief.,Grammar is important because ...,True
d3f4e74a-68e0-4da1-9fe2-7af52a6ea26b,S0682,Social Science,Economics,Explain Economics in brief.,The key concept of Economics is ...,True
0e82e6e8-4da3-4c5b-9ef6-aae7e945df82,S0682,English,Writing Skills,Explain Writing Skills in brief.,An example of Writing Skills: ...,True
a21003a6-004a-4d21-b5b6-7a64aa86a56b,S0682,English,Poetry,Give an example of Poetry.,Poetry is important because ...,False
1c7db7e5-bac2-4883-a289-d3d7e0db25ee,S0682,Math,Algebra,Explain Algebra in brief.,An example of Algebra: ...,True
ff5aaf7d-b35f-473d-85bc-dca82903d4ac,S0682,Math,Trigonometry,What is the key concept of Trigonometry?,Trigonometry is important because ...,False
18ff0683-27a8-4d7f-8366-7b4e478aef33,S0682,Science,Genetics,Explain Genetics in brief.,Genetics can be explained as ...,False
072415f3-c5c2-48d5-988c-b347f8ad2ed1,S0974,Science,Genetics,What is the key concept of Genetics?,The key concept of Genetics is ...,False
10da410f-fe41-4499-96aa-3821cb01ab1c,S0974,Social Science,Economics,Why is Economics important?,Economics can be explained as ...,False
bb923c49-efc9-43b7-a600-7fec1316e7cd,S0974,Math,Calculus,Give an example of Calculus.,Calculus is important because ...,True
3678f69b-cc90-4e5b-a31b-c2a1a479dbb5,S0974,English,Grammar,Explain Grammar in brief.,Grammar is important because ...,False
f571bc5b-8aa3-41c7-bad2-c403cc7d313a,S0974,Computer Science,Programming,Why is Programming important?,Programming can be explained as ...,False
da7adb95-db94-46db-b0ef-dc4c3fd517a3,S0974,Science,Chemistry,Give an example of Chemistry.,The key concept of Chemistry is ...,True
3b881575-8662-4ca2-b414-8d01ed3e83e1,S0974,Math,Algebra,Give an example of Algebra.,An example of Algebra: ...,False
575dda2e-1e44-46fc-976a-31c22f7b0c2e,S0974,Computer Science,Algorithms,Explain Algorithms in brief.,Algorithms can be explained as ...,True
db7511c2-822b-432b-a2f4-b497cc2c2ec4,S0383,Science,Physics,Give an example of Physics.,Physics is defined as ...,False
daf7fd6c-f188-47b5-8eeb-5116e97b5b57,S0383,Economics,Micro,Define Micro.,The key concept of Micro is ...,True
2746b5cf-12e9-4f6a-a771-998b0c52cb49,S0383,Social Science,Economics,Why is Economics important?,The key concept of Economics is ...,True
b6458384-04c2-4157-8342-cd07ad855e7b,S0383,Computer Science,AI,Give an example of AI.,AI can be explained as ...,False
818d5b47-c02c-4281-b3d8-66217453a3b5,S0383,History,World Wars,Why is World Wars important?,World Wars is important because ...,True
ccdc9c54-5109-49dc-ac99-9db6cbd12faa,S0383,Science,Physics,Explain Physics in brief.,Physics is defined as ...,True
4977cc6d-90b0-453b-828c-59765cf62d1d,S0383,Social Science,Geography,Explain Geography in brief.,Geography is defined as ...,True
1eab8d54-bb74-4470-a2c7-8a185849a4d1,S0383,Economics,Micro,Why is Micro important?,Micro is important because ...,False
077d76b8-7ad8-4067-81a2-b3b2f2dd9d26,S0760,Social Science,Sociology,Why is Sociology important?,The key concept of Sociology is ...,False
a76e7e07-2e7f-472c-8abc-636619533f81,S0760,History,Medieval,Why is Medieval important?,Medieval can be explained as ...,True
4bab4dd7-dbde-4637-8148-a838bb9e69fb,S0760,Computer Science,Databases,Give an example of Databases.,Databases is important because ...,False
38efb4e7-9af1-40a1-8124-bc294cd20613,S0760,Social Science,Civics,Explain Civics in brief.,An example of Civics: ...,False
f273a431-710a-4543-801c-030fa5b80ca2,S0760,Economics,Macro,Explain Macro in brief.,Macro is important because ...,True
9f41dca2-3ef1-4258-9dac-c505ad77f32b,S0760,Economics,Macro,Give an example of Macro.,An example of Macro: ...,True
ed314fa0-a565-4a5e-b5e4-892c7923f663,S0760,Economics,Trade,Define Trade.,Trade can be explained as ...,False
c2149d5a-6d0b-4bbd-a82c-1a61b40c9b1a,S0760,Science,Biology,What is the key concept of Biology?,The key concept of Biology is ...,False
db9882b3-7fd0-4eee-b351-f422364fd37a,S0662,English,Grammar,Why is Grammar important?,Grammar is important because ...,True
999e1734-c648-47cd-8652-8c2fbc67c3c9,S0662,Math,Trigonometry,Give an example of Trigonometry.,Trigonometry is important because ...,True
aee00f5f-61d2-464a-8830-2407f8eeb5c0,S0662,Science,Physics,Why is Physics important?,An example of Physics: ...,False
44f959f3-6fd8-45cd-a3fa-16457611fc5b,S0662,History,Modern,Define Modern.,An example of Modern: ...,False
fdef76a3-e73d-4ef8-b709-1e13fe09024d,S0662,Math,Probability,Why is Probability important?,The key concept of Probability is ...,False
d5bc3381-e49a-4b8b-947e-9daa1046e8ae,S0662,Science,Biology,Give an example of Biology.,Biology can be explained as ...,False
2e5da5f9-c3ff-44e3-8b76-6a0a0efa6797,S0662,Economics,Micro,Define Micro.,Micro can be explained as ...,True
ee7ce504-08a6-4d58-8b8a-eea470b01658,S0662,Computer Science,Algorithms,Why is Algorithms important?,The key concept of Algorithms is ...,False
f04f8699-52f5-4841-ad1c-a799f046bcd1,S0358,Social Science,History,Define History.,History is defined as ...,True
d9949ffe-f401-4d59-84e4-404af7933b35,S0358,Science,Biology,Define Biology.,The key concept of Biology is ...,True
06fe0368-945f-4776-8219-4e68797b0a33,S0358,History,Revolutions,Give an example of Revolutions.,An example of Revolutions: ...,False
f421ca8c-f3b1-44d5-8b3e-83a8906fa265,S0358,English,Literature,Define Literature.,An example of Literature: ...,False
429392b6-3a0b-4813-af8f-fbeb62cb238d,S0358,Math,Trigonometry,Why is Trigonometry important?,Trigonometry is important because ...,True
ec661fc2-0ff9-4aad-89e3-8dda1326a137,S0358,English,Writing Skills,Explain Writing Skills in brief.,An example of Writing Skills: ...,True
0f0ed75b-0beb-472f-8466-a416b8621fbc,S0358,Economics,Macro,What is the key concept of Macro?,Macro is important because ...,True
628a94b9-5408-4ea0-9638-baa4e1adcee1,S0358,Economics,Micro,Explain Micro in brief.,Micro can be explained as ...,True
fd5007b2-1f3c-4f80-ab88-0e5ccdf467a2,S0696,Science,Ecology,Define Ecology.,The key concept of Ecology is ...,False
d49bfe78-55ab-4467-9c63-b5c93140b934,S0696,Math,Calculus,Why is Calculus important?,An example of Calculus: ...,True
da5392b6-b4a1-41e9-82b8-755bd4b1ec19,S0696,Math,Calculus,Define Calculus.,Calculus is important because ...,False
8701cc19-df00-4db0-af44-2f7a5a8449e6,S0696,English,Literature,Give an example of Literature.,Literature is important because ...,True
af5e630c-6d7d-47fc-b06b-ccab6c509c9b,S0696,Computer Science,AI,What is the key concept of AI?,AI is important because ...,True
2b804b00-3a40-48ae-beca-995f16a3e6aa,S0696,History,Ancient,What is the key concept of Ancient?,An example of Ancient: ...,True
e060b6d3-16bb-4a4e-b918-268b17aa72ae,S0696,Math,Algebra,Give an example of Algebra.,The key concept of Algebra is ...,True
a6487424-c11d-4209-b2cb-90ed53728120,S0696,Math,Trigonometry,What is the key concept of Trigonometry?,The key concept of Trigonometry is ...,True
6f3204b4-2d08-4836-8040-74ec74e07fe5,S0091,Computer Science,Programming,Why is Programming important?,Programming is defined as ...,False
d106da9d-b6a4-4556-9c02-a29b9f09a678,S0091,Social Science,Geography,Give an example of Geography.,Geography is important because ...,True
9ef0ca29-d9c0-4b2a-b84d-ad2a4094629c,S0091,History,Revolutions,What is the key concept of Revolutions?,Revolutions can be explained as ...,True
17df41e7-6ef5-406a-8245-02e2fc51cd37,S0091,Economics,Micro,Give an example of Micro.,An example of Micro: ...,False
cf128cab-f9ad-4fbc-bce9-b20beb838144,S0091,English,Literature,Explain Literature in brief.,An example of Literature: ...,False
39d68fed-9747-47c8-abb8-155b38f36209,S0091,Social Science,Civics,What is the key concept of Civics?,Civics can be explained as ...,True
13f92261-c69f-416b-8b1e-270492b89b38,S0091,Economics,Micro,Give an example of Micro.,Micro can be explained as ...,True
4c406311-38e8-478f-98b1-4f927d8f8e0a,S0091,History,Medieval,Give an example of Medieval.,The key concept of Medieval is ...,False
0ea52b18-1dad-47ff-a466-ca085d652a5a,S0686,Economics,Micro,Why is Micro important?,Micro is important because ...,True
5402b738-0b01-463a-8ca2-65dc1fccd62c,S0686,Computer Science,Programming,Explain Programming in brief.,Programming is important because ...,False
aa2b8b0f-75b4-49c0-be49-0c039fc0c47f,S0686,History,Revolutions,Give an example of Revolutions.,Revolutions is defined as ...,False
a48beaf9-b0aa-473a-a6ab-1c888bedfdf3,S0686,History,Medieval,What is the key concept of Medieval?,An example of Medieval: ...,True
c5b8ead2-debf-49ae-97be-dba545b3ea5c,S0686,History,Ancient,What is the key concept of Ancient?,Ancient is defined as ...,False
931e3450-c1ec-4da1-97ce-46fd36b1524d,S0686,Social Science,History,Define History.,History is defined as ...,False
35f1c7e2-5e04-4e65-999e-6d89a9709251,S0686,Science,Chemistry,Give an example of Chemistry.,The key concept of Chemistry is ...,False
dd8d4374-6b8c-4dba-9aac-dfa731ee0fa8,S0686,Math,Trigonometry,Give an example of Trigonometry.,The key concept of Trigonometry is ...,True
095c0f9d-e96a-4bd5-a40f-6df6c08987ec,S0678,Economics,Micro,Give an example of Micro.,Micro is important because ...,False
9a84d8ab-3942-42c0-aacf-9c6001d9cd0b,S0678,Social Science,Geography,Give an example of Geography.,Geography is important because ...,True
f76d0146-72da-4357-82b6-3d61c4438077,S0678,Economics,Development,Give an example of Development.,The key concept of Development is ...,False
ebecab7c-fbf9-4018-8a1f-633e105d08b3,S0678,Social Science,Geography,Define Geography.,The key concept of Geography is ...,True
3ec68a4e-61d7-4911-9616-ffe85ccf83d5,S0678,Computer Science,Networking,Define Networking.,An example of Networking: ...,True
4abdfe02-13dc-411b-aca4-56707b111d59,S0678,Social Science,Economics,Explain Economics in brief.,Economics is defined as ...,True
27d862c8-4ea2-4de3-88eb-f3ab7591106a,S0678,Math,Probability,Give an example of Probability.,Probability can be explained as ...,False
c4af3a05-942a-4725-8804-2a7384b416d5,S0678,History,Revolutions,What is the key concept of Revolutions?,Revolutions is defined as ...,False
350017b8-cccb-4d34-a640-b28f178403ec,S0724,Science,Biology,What is the key concept of Biology?,The key concept of Biology is ...,False
f934af39-d0b2-451b-9663-fb4842556719,S0724,Science,Physics,Why is Physics important?,An example of Physics: ...,False
0b15c970-870e-42f5-831a-0d7e9a8f5039,S0724,Science,Genetics,Explain Genetics in brief.,An example of Genetics: ...,True
b9d30b92-f0e2-4cab-9415-dab5df182009,S0724,Science,Ecology,Why is Ecology important?,Ecology is important because ...,True
e4ce58e0-cd6a-43c4-a070-b4e73f161dd7,S0724,History,World Wars,What is the key concept of World Wars?,An example of World Wars: ...,True
9fa63e0a-1658-4580-868c-449c0c25c45e,S0724,Science,Biology,Give an example of Biology.,Biology can be explained as ...,True
eec8fa1b-2438-43f0-b617-beb0d2e7ed1f,S0724,Math,Geometry,What is the key concept of Geometry?,The key concept of Geometry is ...,True
2b1b63bf-11cb-49bb-962f-507d22022ca5,S0724,Computer Science,Databases,Give an example of Databases.,The key concept of Databases is ...,True
93c61945-df87-46db-8203-f9ffc85802f8,S0381,Social Science,Economics,Explain Economics in brief.,Economics is important because ...,False
3e3a64f1-e176-419a-9f64-d0ab258850b2,S0381,Computer Science,Algorithms,What is the key concept of Algorithms?,Algorithms is important because ...,True
9d5f03ac-2f26-4eee-9270-e27d4efd62fd,S0381,English,Literature,Define Literature.,An example of Literature: ...,True
1fab2a34-4d49-4c67-bea9-064af6da5e99,S0381,English,Writing Skills,Explain Writing Skills in brief.,Writing Skills can be explained as ...,False
9f0ec74e-412b-4b93-bc5d-ae84c7d225c8,S0381,Science,Genetics,What is the key concept of Genetics?,The key concept of Genetics is ...,True
9cbcb1aa-a6bd-49eb-b830-b07d57b69fa5,S0381,English,Writing Skills,Define Writing Skills.,Writing Skills is defined as ...,False
49edb1c1-e66e-494f-89ce-e28db7120865,S0381,English,Literature,Explain Literature in brief.,Literature is defined as ...,False
cac395ff-a2c0-4474-9243-c7f24c3f36fd,S0381,English,Poetry,What is the key concept of Poetry?,An example of Poetry: ...,True
cd94007f-bd0b-4d56-bf9b-34f98f8fc9b5,S0054,Science,Physics,What is the key concept of Physics?,Physics is important because ...,True
27ba65aa-03b3-487b-bad2-f0f2aed97b93,S0054,Economics,Development,What is the key concept of Development?,The key concept of Development is ...,False
ce8cf3e7-2ebe-420d-88d0-29d61f49fdb5,S0054,Social Science,Sociology,Explain Sociology in brief.,Sociology is important because ...,True
01c4e7e9-89d3-43bd-b066-6b42fd656188,S0054,Computer Science,Programming,Define Programming.,The key concept of Programming is ...,False
6ad80f94-2250-48af-b64f-ce741aa45766,S0054,Science,Genetics,Define Genetics.,An example of Genetics: ...,True
2718a232-e710-41b8-8261-f589a7bcafe7,S0054,Social Science,Economics,Explain Economics in brief.,The key concept of Economics is ...,True
b0337422-0bf2-4eda-af6b-71fbc3557dc3,S0054,Computer Science,AI,Explain AI in brief.,An example of AI: ...,True
c21f51f1-7518-4d53-ac43-c5d61a20af5c,S0054,Science,Physics,Define Physics.,Physics can be explained as ...,True
26b72d8a-5da1-4e48-8b57-a4a70fb7a624,S0507,Computer Science,AI,Define AI.,AI can be explained as ...,True
a8195028-5119-4103-b9e2-718856f0c6eb,S0507,Social Science,Economics,Define Economics.,Economics is defined as ...,True
c3615695-4d9e-48ef-aeb5-7d6a7b5f6684,S0507,Math,Algebra,Give an example of Algebra.,Algebra is important because ...,True
1e22c587-9e22-4d42-8924-b0a80cab12d1,S0507,Social Science,Sociology,Define Sociology.,The key concept of Sociology is ...,False
15bf6c13-fd53-43c3-ad89-a91132fb5fe1,S0507,History,Ancient,Define Ancient.,Ancient can be explained as ...,True
4f6038ed-fa08-4e1e-8da0-c5263dcba1c9,S0507,History,World Wars,Explain World Wars in brief.,An example of World Wars: ...,True
5282f740-c619-44cf-a548-9789e34f0133,S0507,Economics,Micro,Define Micro.,Micro is important because ...,False
d39591d9-6ed0-4b77-a856-2bf1ad870852,S0507,Computer Science,Networking,Define Networking.,Networking is important because ...,False
3e9a67f8-4844-4169-a797-5e7cfa4b9600,S0371,Economics,Macro,Give an example of Macro.,The key concept of Macro is ...,True
6c8f8895-c631-4e72-85ee-be0541924d18,S0371,Computer Science,AI,Give an example of AI.,AI is important because ...,True
9ca90377-ef73-4cf9-89cc-a804117d97ea,S0371,Economics,Micro,Explain Micro in brief.,Micro is defined as ...,False
e3294169-1dc8-4f48-92b1-11291398f0e4,S0371,History,Medieval,Explain Medieval in brief.,Medieval can be explained as ...,True
4c53ad00-c0a6-4c99-a19e-c3eccae00b03,S0371,Computer Science,AI,Give an example of AI.,An example of AI: ...,True
66c1fdef-37f1-4dc5-9d84-813553eca7b9,S0371,Social Science,Economics,What is the key concept of Economics?,The key concept of Economics is ...,True
2c98166c-a8f6-44ef-a53c-58d302188c8b,S0371,English,Grammar,Why is Grammar important?,Grammar is defined as ...,True
47998fbc-6b41-4b42-b6c2-9ae5786df295,S0371,Science,Ecology,What is the key concept of Ecology?,The key concept of Ecology is ...,True
b4a95e79-7a75-4bd7-9f0c-fb5a8c96c182,S0780,History,Ancient,Explain Ancient in brief.,Ancient is defined as ...,False
59655a9a-39f4-4556-912e-9d001dae9cbe,S0780,English,Comprehension,Explain Comprehension in brief.,An example of Comprehension: ...,True
f9777454-31d4-4e00-ac4c-fc7dbca63a84,S0780,History,Modern,What is the key concept of Modern?,Modern is important because ...,True
3d2ccf49-2b7d-4577-9afc-c75cf6d5688f,S0780,Computer Science,Networking,Explain Networking in brief.,Networking is defined as ...,False
45992526-12ac-4c9d-85d4-331558efcb5f,S0780,Math,Calculus,Give an example of Calculus.,Calculus is important because ...,True
d9163b16-c37e-4ad9-bd52-df996fd2992e,S0780,Economics,Macro,What is the key concept of Macro?,Macro is defined as ...,True
7f2595d6-500c-4147-b974-7cedfc4d3954,S0780,English,Literature,What is the key concept of Literature?,The key concept of Literature is ...,True
445633c8-12c9-4d7e-bfe1-b146243b4018,S0780,English,Poetry,Give an example of Poetry.,An example of Poetry: ...,True
430de143-d47a-4bbd-904e-d8360cb57b58,S0395,English,Literature,What is the key concept of Literature?,Literature can be explained as ...,False
8d251422-dc65-4532-8859-3554349b4548,S0395,Math,Probability,Explain Probability in brief.,The key concept of Probability is ...,False
a307067e-24ea-440a-9e5b-5f23e3f3a6fa,S0395,Economics,Micro,Give an example of Micro.,An example of Micro: ...,False
636cf2d8-2de9-4d64-996f-435b4ab4857e,S0395,Math,Calculus,What is the key concept of Calculus?,An example of Calculus: ...,False
4c2e33eb-ae95-47b3-92a7-d9848aa13b05,S0395,Computer Science,Networking,Explain Networking in brief.,An example of Networking: ...,True
001715c3-c1bf-4737-bb49-d2d7493e8c5b,S0395,Math,Probability,Explain Probability in brief.,Probability can be explained as ...,True
92da08f9-76c0-4e4c-91ed-9775c544f2e9,S0395,Economics,Finance,Give an example of Finance.,Finance is important because ...,False
401608cd-7053-4b97-b18a-8e51e6f71e2b,S0395,Science,Chemistry,What is the key concept of Chemistry?,Chemistry can be explained as ...,False
80455839-62df-4cad-8219-9636428f11c1,S0088,Social Science,Civics,Give an example of Civics.,Civics is defined as ...,False
bfc522cb-2332-49a3-990f-a222070649d8,S0088,Math,Algebra,Why is Algebra important?,The key concept of Algebra is ...,False
b50688c8-91c5-430b-9d4b-6c9f92bc0042,S0088,Social Science,Geography,Give an example of Geography.,Geography is defined as ...,True
94c2d83e-ebde-4a3d-b2c5-40f3f11e7015,S0088,Science,Genetics,Explain Genetics in brief.,An example of Genetics: ...,True
93e25f80-f351-4c82-b156-9d8546ba738d,S0088,English,Writing Skills,What is the key concept of Writing Skills?,An example of Writing Skills: ...,True
513e89ee-6825-4ea6-908b-bbd69477dfdf,S0088,Social Science,Geography,Explain Geography in brief.,The key concept of Geography is ...,True
c53c44ad-67c7-4a61-9ac1-fe47fef1d1ed,S0088,Math,Trigonometry,Give an example of Trigonometry.,An example of Trigonometry: ...,False
45589e12-2d8b-40a0-ae40-39c40cd89e98,S0088,Economics,Development,What is the key concept of Development?,The key concept of Development is ...,True
3757dc22-81ee-4e47-b4df-288f8afdb5a3,S0712,Social Science,Economics,Define Economics.,An example of Economics: ...,True
741f3e4c-73e6-4cd4-9a6a-a2de100038aa,S0712,Math,Trigonometry,What is the key concept of Trigonometry?,An example of Trigonometry: ...,True
8dc34713-fc56-4d74-88f9-163d4cd33671,S0712,English,Literature,Why is Literature important?,Literature can be explained as ...,False
2d475dde-18b3-4f3e-a682-a0546202fd3b,S0712,Math,Probability,Give an example of Probability.,Probability is defined as ...,True
7af54c12-28b4-4b2f-8a5e-fd3a0c8ce63d,S0712,Social Science,Geography,Why is Geography important?,Geography is defined as ...,True
824d562d-f6b7-48d8-b9e5-a17d1575c366,S0712,Economics,Micro,Why is Micro important?,Micro is defined as ...,False
debba86e-c3a8-4f5a-b616-67c4e2916ba2,S0712,Math,Probability,Define Probability.,Probability is defined as ...,True
ddf388ca-6ebc-4850-8c90-589ae614d581,S0712,Social Science,Civics,Define Civics.,The key concept of Civics is ...,False
e38d925d-80d2-4dc5-a1c8-19d6a95e3ef1,S0129,Computer Science,Programming,What is the key concept of Programming?,Programming can be explained as ...,True
2f495932-86e1-4d87-8b97-e40fec5cfa76,S0129,Science,Biology,Explain Biology in brief.,Biology is defined as ...,False
e76b187c-9a8a-4c28-91b5-39a001a168e5,S0129,English,Writing Skills,Give an example of Writing Skills.,Writing Skills is important because ...,False
583e5eda-4d2f-4750-94b7-f4e03eeeabfd,S0129,Social Science,Sociology,Explain Sociology in brief.,Sociology can be explained as ...,True
a675bef6-d417-400a-880e-a744950a76bc,S0129,Math,Geometry,Explain Geometry in brief.,An example of Geometry: ...,True
eafde57b-c707-41f6-9d23-5e2666872afe,S0129,Computer Science,Databases,Explain Databases in brief.,An example of Databases: ...,True
17361081-0b36-4fcb-a0ab-7715bc23c988,S0129,Math,Probability,Why is Probability important?,An example of Probability: ...,True
9d3a7575-4f57-43a9-80fd-f26802c6871e,S0129,English,Comprehension,Explain Comprehension in brief.,Comprehension is defined as ...,False
3f61100f-1924-4f22-893a-571077d21c45,S0015,History,Ancient,Define Ancient.,An example of Ancient: ...,True
4abc5997-1d01-4355-9de3-f1f0429f0e03,S0015,History,Ancient,Why is Ancient important?,Ancient is important because ...,False
1cad61e6-17be-4189-ad8f-7bb1f8f3036e,S0015,English,Literature,What is the key concept of Literature?,An example of Literature: ...,False
245665bf-90fa-4d40-8ffa-adc74cc23435,S0015,Economics,Trade,Explain Trade in brief.,Trade is important because ...,False
43117841-e51f-45ce-9da2-5d42537b76ef,S0015,Science,Biology,What is the key concept of Biology?,The key concept of Biology is ...,True
61cef396-b64a-4304-8b53-d5057367cf41,S0015,Science,Chemistry,Give an example of Chemistry.,Chemistry is important because ...,True
44c5439c-a619-440c-be11-6e45159ccaed,S0015,Computer Science,Databases,Define Databases.,Databases can be explained as ...,False
cb75b32a-3bb0-459a-9e84-d7a97999550e,S0015,History,Revolutions,Give an example of Revolutions.,An example of Revolutions: ...,False
b33833cc-dca7-4ab2-a484-2b4f6767ef1e,S0292,English,Poetry,Why is Poetry important?,An example of Poetry: ...,True
7a8a3130-3275-4564-b568-6fa609edfd06,S0292,Economics,Trade,Give an example of Trade.,An example of Trade: ...,False
85a0a391-32f2-4e0c-9bdd-c24883b38497,S0292,History,Revolutions,Define Revolutions.,Revolutions is defined as ...,False
00575319-af21-4fc2-87cf-e8439fea9065,S0292,Social Science,History,Explain History in brief.,History can be explained as ...,False
4c213de0-1f49-4e36-9171-4480283e7ea5,S0292,Science,Biology,Why is Biology important?,Biology is important because ...,False
994b014b-c6f7-41c7-b68b-86445bb50be2,S0292,Social Science,Geography,Why is Geography important?,Geography is important because ...,True
db290936-9b60-46cb-93fc-78217794286c,S0292,History,Medieval,Why is Medieval important?,Medieval is defined as ...,False
d5b224ae-fc54-4f4f-90cf-30121b140634,S0292,English,Literature,What is the key concept of Literature?,Literature is defined as ...,False
5b080755-8c12-4caa-be28-5a945135361b,S0745,History,Medieval,Define Medieval.,Medieval is defined as ...,False
00189456-4bbb-498c-baf0-141626de30d1,S0745,Computer Science,Databases,Why is Databases important?,An example of Databases: ...,True
4ed7b17e-3afb-42cf-96b0-d9cca8497ce5,S0745,Social Science,History,Why is History important?,History is defined as ...,True
46dc58bd-fcb4-4787-b756-603bf7f93293,S0745,Economics,Micro,Why is Micro important?,The key concept of Micro is ...,False
292f77b5-b1de-4e54-83dd-02f6fa37a95a,S0745,Science,Physics,Define Physics.,The key concept of Physics is ...,True
d6ab6f33-9c3a-4ca3-85c5-a14bcfc5a81a,S0745,Economics,Trade,Define Trade.,Trade is defined as ...,False
ec0dbf10-6a79-4636-91a8-33eb76b25763,S0745,Math,Algebra,What is the key concept of Algebra?,An example of Algebra: ...,False
f1103910-1307-4858-bf9c-4857531fab2c,S0745,Science,Ecology,Why is Ecology important?,Ecology can be explained as ...,False
fbda9e24-cbb1-4134-82b0-763b9bd481f1,S0744,Math,Trigonometry,What is the key concept of Trigonometry?,The key concept of Trigonometry is ...,True
